id,Vendor Name,Contract ID,Title/Purpose,Execution Date,Original Expiration Date,Current Expiration Date,Original Contract Amount,Current Contract Amount,Selection Process,Funding Sources,Modifications
FA-0318494,DISSIDENT PRODUCTIONS LLC,FA-0318494,ARTIST SERVICES FOR NSAT SOUTH LOUNGE,2/25/2016,6/30/2016,12/31/2017,"$39,000.00","$39,000.00",C,03750,Y
P-00318516,COMPAREX USA INC,P-00318516,1910 / ICT/ SADLER,2/22/2016,2/21/2019,2/21/2019,"$275,000.00","$275,000.00",C,"00010, 03040",N
P-00318214,"PUEBLO TECHNOLOGY GROUP, INC",P-00318214,AIRPORTS OF THE FUTURE ROUNDTABLE DISCUSSION,2/21/2016,2/21/2017,2/21/2017,"$10,000.00","$10,000.00",C,00010,N
S-00318634,JAI S BRADFORD,S-00318634,ON-SITE MONTHLY FLEET VEHICLE WASHING SVCS,2/15/2016,2/14/2017,2/14/2017,"$25,000.00","$17,374.16",C,00010,N
FA-0318565,CABLE GRIFFITH,FA-0318565,NSAT TRANSIT ESCALATOR WALL ART,2/16/2016,6/30/2016,12/31/2017,"$30,000.00","$30,000.00",C,03750,Y
P-00318410,DUBLIN AIRPORT AUTHORITY PLC,P-00318410,3680/AVBUSDEV/NELSON,2/17/2016,2/17/2017,2/17/2017,"$49,962.00","$49,962.00",C,03040,N
P-00318146,FACILITY SUPPORT INC,P-00318146,MECHANICAL ELECTRICAL DESIGN SERVICES IDIQ (1 OF 4),2/12/2016,2/11/2017,2/11/2017,"$1,500,000.00","$1,500,000.00",C,,N
P-00317530,CASCADE BICYCLE CLUB,P-00317530,BICYCLE FACILITY PLAN PHASE II,2/12/2016,2/12/2017,2/12/2017,"$5,040.00","$5,040.00",C,03040,N
P-00318547,UNIVERSITY OF WASHINGTON,P-00318547,BICYCLE FACILITY PLAN PHASE II,2/12/2016,2/12/2017,2/12/2017,"$9,950.00","$9,950.00",C,03040,N
SW-0318484,"APOLLO SHEET METAL, INC.",SW-0318484,"GREASE INTERCEPTOR AUGMENTATION MECHANICAL ON-CALL STIA,",2/9/2016,2/8/2017,5/9/2017,"$300,000.00",$0.00,C,"03040, RET01",N
P-00318284,HARRIS GROUP INC,P-00318284,ELECTRICAL UTILITY SYSTEM DESIGN SERVICES,2/11/2016,12/1/2017,12/1/2017,"$1,500,000.00","$1,500,000.00",C,03040,Y
P-00318382,PATANO STUDIO ARCHITECTS LLC,P-00318382,ARCHITECT SERVICES IDIQ,2/7/2016,2/8/2017,10/31/2018,"$1,500,000.00","$1,500,000.00",C,03040,N
S-00318562,HERTZ EQUIPMENT RENTAL CORP,S-00318562,MED - HEAVY EQUIPMENT RENTALS,2/8/2016,3/31/2017,3/31/2017,"$300,000.00","$179,545.87",C,,N
P-00318539,COMMUNITY ATTRIBUTES INC,P-00318539,1420/PA /WOLPA,2/4/2016,2/4/2017,2/4/2017,"$25,000.00","$25,000.00",C,00010,N
P-00318561,VIC THOMPSON COMPANY,P-00318561,BHS DESIGN IDIQ,2/5/2016,2/5/2016,2/5/2017,"$5,000,000.00","$5,000,000.00",C,,N
MC-0318266,"WESTERN VENTURES CONSTRUCTION, INC.",MC-0318266,P69 ROOF BEAM REHABILITATION,2/4/2016,11/30/2016,5/30/2017,"$896,200.00","$908,156.72",C,"00010, 03040",Y
C-00318560,FLIGHTVIEW,C-00318560,FLIEGHTVIEW SOFTWARE LICENSE,2/4/2016,1/31/2017,1/31/2017,"$11,800.00","$11,900.00",C,03040,N
SW-0318458,Accord Contractors LLC,SW-0318458,S. 160TH STREET GROUND TRANSPORTATION LOT PROJECT,2/5/2016,5/2/2016,12/31/2016,"$130,161.56","$147,607.11",C,"03040, RET01",Y
P-00318558,MACDONALD MILLER FACILITY SOLUTIONS INC,P-00318558,HVAC CONDITION ASSESSMENT,2/3/2016,2/3/2017,2/3/2017,"$500,000.00","$50,000.00",S,00010,N
S-00318556,CRANE CONSULTANTS INC,S-00318556,LIFT & HOIST CERTIFICATION ONLY,2/2/2016,1/2/2017,1/2/2017,"$25,000.00","$4,512.50",C,00010,N
MC-0318406,SCARSELLA BROS. INC.,MC-0318406,SR518 INTERCHANGE RESTORATION,2/2/2016,10/13/2016,5/17/2017,"$888,777.66","$922,431.74",C,03040,Y
P-00318375,"CARDNO GS, INC",P-00318375,STORMWATER SERVICES,2/1/2016,1/31/2017,1/31/2017,"$2,500,000.00","$2,500,000.00",C,03040,N
SW-0318476,GOOD NEWS GROUP INC,SW-0318476,FLOORING & WALL COVERING ON-CALL PORTWIDE 2016,2/2/2016,2/1/2017,12/31/2017,"$300,000.00","$300,000.00",C,"00010, 03040, RET01",Y
S-00318632,BLUEPEARL WASHINGTON LLC,S-00318632,K9 EMERGENCY VET CARE,2/1/2016,1/31/2020,1/31/2020,"$30,000.00",$0.00,C,,N
P-00318422,INTERLOC SOLUTIONS INC,P-00318422,MAXIMO SYSTEM UPGRADE,1/29/2016,1/29/2017,1/29/2017,"$580,000.00","$568,168.00",C,"00010, 03040",N
S-00318906,SEATTLE COMMUNITY COLLEGE,S-00318906,VIDEOTAPING SERVICES,1/30/2016,12/31/2020,12/31/2020,"$150,000.00",$0.00,W,00010,N
SW-0318514,HERZOG INDUSTRIES INC,SW-0318514,PASSENGER RAMP GLAZING ON-CALL,1/27/2016,7/28/2017,7/28/2017,"$300,000.00",$0.00,C,"03040, RET01",N
P-00318463,ECH ARCHITECTURE PS,P-00318463,ARCHITECTURE SERVICES IDIQ,1/29/2016,1/26/2017,1/29/2017,"$500,000.00","$500,000.00",C,03040,N
C-00318540,GOVDELIVERY INC,C-00318540,DIGITAL COMMUNICATIONS SUBSCRIPTIN,1/21/2016,1/31/2017,1/21/2018,"$246,900.00","$246,900.00",C,00010,Y
P-00318500,MARTIN ROSE,P-00318500,1850 HR&D MOSES INDUSTRIAL HYGIENIST SERVICES,1/22/2016,1/21/2017,1/21/2018,"$45,000.00","$45,000.00",C,00010,N
SW-0318479,V & R SHEET METAL LLC,SW-0318479,FALL PROTECTION & BUILDING ENVELOPE ON-CALL PORTWIDE,1/22/2016,1/26/2017,12/30/2017,"$300,000.00","$300,000.00",C,"00010, 00SPA, 03040, RET01",Y
MC-0318543,RHINE DEMOLITION LLC,MC-0318543,TERMINAL 91 WAREHOUSE 50 BUILDING ABATEMENT AND DEMOLITION,1/21/2016,10/10/2016,12/30/2016,"$333,000.00","$339,190.43",C,00010,Y
MC-0318315,SCARSELLA BROS. INC.,MC-0318315,CONTRUCTION LOGISTICS EXPANSION,1/22/2016,9/19/2016,9/19/2016,"$2,345,678.90",$0.00,C,03040,Y
P-00318462,MACKENZIE ENGINEERING,P-00318462,ARCHITECT SERVICES IDIQ,1/21/2016,1/20/2017,1/20/2018,"$1,500,000.00","$1,500,000.00",C,"00010, 03040",N
P-00318464,SECURED NET SOLUTIONS INC.,P-00318464,PORT SYSTEMS PENETRATION SERVICES,1/21/2016,1/20/2019,1/20/2019,"$150,000.00","$150,000.00",C,00010,N
SW-0318489,AMERICAN CONSTRUCTION CO INC,SW-0318489,"DOCK , DIVING & PILING ON-CALL PORTWIDE 2016",1/19/2016,3/18/2016,6/30/2017,"$300,000.00","$300,000.00",C,00010,Y
P-00318466,"R. L. TOWNSEND & ASSOCIATES, LLC",P-00318466,INTERNAL AUDIT CAPITAL PROJECTS,1/20/2016,1/20/2017,1/20/2018,"$48,000.00","$48,000.00",C,00010,N
P-00318524,ADK CONSULTING & EXECUTIVE SEARCH,P-00318524,3650 HR&D LEWLESS,1/21/2016,1/20/2017,1/20/2017,"$60,000.00","$60,000.00",C,03040,N
P-00318537,JOSEPH BARNES DBA DIGITAL 3000,P-00318537,1420 PA COLLINS,1/15/2016,1/14/2017,1/14/2018,"$49,000.00","$49,000.00",W,00010,N
P-00318359,ARDENT SAGE LLC,P-00318359,1420/PA/STOLTZFUS,1/4/2016,1/3/2017,1/3/2017,"$290,000.00","$290,000.00",C,"00010, 03040",N
C-00318535,AIRPORTS COUNCIL INTERNATIONAL,C-00318535,SURVEY INFORMATION,1/6/2016,12/31/2020,12/31/2020,"$147,500.00","$147,500.00",W,03040,N
P-00318523,PRR INC,P-00318523,MULTI MODEL SURVEY,1/13/2016,12/31/2016,12/31/2016,"$39,144.00","$44,144.00",W,00010,Y
C-00318518,WB SPRAGUE COMPANY INC,C-00318518,PEST MANAGEMENT SERVICES,1/1/2016,12/31/2017,12/31/2018,"$750,000.00","$750,000.00",C,03040,N
I-00318730,THE NORTHWEST SEAPORT ALLIANCE,I-00318730,POS/NSWA STAFF SUPPORT SERVICES 2016,1/1/2016,12/31/2016,12/31/2016,"$284,000.00","$284,000.00",S,00010,N
C-00318563,PITNEY BOWES,C-00318563,60 MONTH LEASE POSTAGE,1/1/2016,12/31/2021,12/31/2021,"$27,000.00","$27,000.00",C,00010,N
C-00318760,MUCKLESHOOT INDIAN TRIBE,C-00318760,IMPACT MITIGATION AGREEMENT,1/1/2016,12/30/2020,12/31/2020,"$2,700,000.00","$2,700,000.00",S,00SPA,N
C-00318775,SUQUAMISH INDIAN TRIBE,C-00318775,TRIBAL AGREEMENT,1/1/2016,12/31/2020,12/31/2020,"$2,707,796.00","$2,707,796.00",S,00SPA,N
C-00318522,GA JONES & ASSOCIATES INC,C-00318522,ODOR CONTROL P-66,1/1/2016,12/31/2016,12/31/2016,"$3,646.20","$3,646.20",C,00010,N
P-00318364,Core Communications,P-00318364,TOURISM & MARKETING REPRESENTATION,1/1/2016,12/31/2016,12/31/2017,"$750,000.00","$750,000.00",C,00010,Y
P-00318469,Trent M House Government Relations,P-00318469,STATE GOVERNMENT ADVOCACY SERVICES,1/1/2016,12/31/2016,12/31/2017,"$336,000.00","$336,000.00",C,00010,Y
S-00318576,WA STATE PATROL,S-00318576,FINGERPRINT/ BACKGROUND CHECK,1/1/2016,12/31/2020,12/31/2020,$0.00,$717.50,C,,N
P-00318478,CITY OF LIBERTY LAKE,P-00318478,IAF DISTRIBUTION RESOLUTION BOARD,1/1/2016,12/31/2020,12/31/2020,"$42,000.00","$42,000.00",C,03040,N
S-00318577,GEVITY INC,S-00318577,PET SUPPLY,1/1/2016,12/31/2020,12/31/2020,"$50,000.00","$11,378.31",C,00010,N
S-00318596,CITY OF TACOMA,S-00318596,RENTAL HARRISON GUN RANGE,1/1/2016,12/31/2021,12/31/2021,"$50,000.00",$840.00,C,,N
S-00318579,BRAT WEAR,S-00318579,UNIFORM PURCHASE,1/1/2016,12/31/2020,12/31/2020,"$50,000.00","$21,892.22",C,00010,N
S-00318606,ADVANCED PRO FITNESS REPAIR,S-00318606,MAINT OF FITNESS EQUIPMENT,1/1/2016,12/31/2019,12/31/2019,"$50,000.00","$4,085.20",C,,Y
L-00318532,CALFO HARRIGAN LEYH & EAKES LLP,L-00318532,CALFO-REQUEST FOR NEW CONTRACT AND PO RE ADR EMPLOYEES PDR,12/31/2015,12/31/2016,12/31/2017,"$50,000.00","$70,000.00",W,03040,Y
S-00318598,KING COUNTY E-911,S-00318598,LANGUAGE LINE INTERPRETATION,1/1/2016,12/31/2021,12/31/2021,"$50,000.00",$122.20,C,,N
S-00318531,PROSPECT AIRPORT SERVICES,S-00318531,AIRPORT WHEELCHAIR SERVICES,12/30/2015,12/31/2016,12/31/2017,$0.00,"$40,294.49",C,03040,N
P-00318362,THOMAS LAMPRECHT AND KRISTINA MULLER,P-00318362,GRAPHIC DESIGN SERVICES IDIQ,12/29/2015,12/28/2016,12/28/2016,"$290,000.00","$290,000.00",C,"00010, 03040",N
L-00318530,NEWMAN & NEWMAN ATTORNEYS AT LAW LLP,L-00318530,NEWMAN DUWORS-REQUEST FOR NEW CONTRACT AND PO-ADR EMPLOYEES-CREIGHTON,12/30/2015,12/31/2016,12/31/2017,"$20,000.00","$45,000.00",W,03040,Y
P-00318361,TOTAL CREATIVE INC,P-00318361,1420/PA/STOLTZFUS,12/29/2015,12/28/2016,12/28/2017,"$290,000.00","$290,000.00",C,"00010, 03040",Y
SW-0318483,SUMMIT ELECTRICAL SERVICES,SW-0318483,ELECTRICAL ON-CALL PORTWIDE 2016,12/29/2015,12/28/2016,12/31/2017,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",Y
L-00318526,PACIFICA LAW GROUP,L-00318526,PACIFICA-DOUG FOX LOT,12/23/2015,12/31/2016,12/31/2017,"$30,000.00","$30,000.00",W,03040,Y
S-00318517,EMERALD SERVICES,S-00318517,OIL RECYCLING,12/21/2015,12/22/2015,12/20/2016,"$10,000.00","$14,708.45",C,00010,N
MC-0318412,PACIFIC PILE & MARINE LP,MC-0318412,T-5 BERTH MODERNIZATION TEST PILE PROGRAM,12/9/2015,4/7/2016,2/7/2017,"$2,374,955.00",$0.00,C,"00010, CASPA",Y
S-00318590,"ADURO, INC.",S-00318590,ADURO WELLNESS PLATFORM,12/16/2015,12/16/2018,12/16/2018,"$161,110.00","$60,804.34",C,00050,N
MC-0318525,COBRA BEC INC,MC-0318525,U00201 CONCOURSE C ROOF REPALCEMENT,12/18/2015,11/1/2016,12/18/2017,"$3,227,762.00",$0.00,C,03750,N
S-00318491,NORTHWEST CASCADE INC,S-00318491,PUMPING AND DISPOSAL SERVICES,11/24/2015,11/15/2016,11/25/2018,"$500,000.00","$207,161.98",C,03040,N
P-00318501,CP COMMUNICATIONS,P-00318501,2016 TOURISM COMMUNICATIONS,12/3/2015,11/18/2016,2/28/2017,"$49,999.00","$49,999.00",W,00010,Y
C-00318521,IP STOC INVESTORS LLC,C-00318521,OFFICE SPACE LEASE,12/1/2015,7/31/2019,7/31/2019,"$1,714,933.64","$1,751,514.38",C,00010,Y
L-00318507,STOKES LAWRENCE PS,L-00318507,LEGAL SERVICES,11/25/2015,12/31/2016,12/31/2017,"$15,000.00","$15,000.00",C,00SPA,Y
SW-0318455,NORTHWEST ASPHALT INC,SW-0318455,"ASPHALT, PAVING AND STRIPING ONCALL PORTWIDE 2015",11/24/2015,9/30/2017,9/30/2017,"$300,000.00","$300,000.00",C,"00010, RET01",N
P-00318195,"NOTKIN ENGINEERING, INC",P-00318195,N. SATELLITE UTILITY UPGRADE,11/23/2015,5/31/2019,5/31/2019,"$1,166,502.00","$1,653,966.00",C,03750,Y
C-00318493,BROCK SOLUTIONS,C-00318493,BSM DATA,11/12/2015,12/31/2016,12/31/2017,"$600,000.00","$600,000.00",C,03040,Y
L-00318496,GARVEY SHUBERT & BARER,L-00318496,STOKES-TRADEMARKS-POS,11/12/2015,12/31/2015,12/31/2017,"$35,000.00","$60,000.00",W,03040,Y
MC-0318394,SHINN MECHANICAL INC,MC-0318394,DOMESTIC WATER BRANCH PIPING,11/20/2015,7/2/2017,7/2/2017,"$697,175.00","$827,394.00",C,03040,Y
SW-0318452,DESIGN AIR LTD,SW-0318452,AIR CARGO 4 HVAC,11/11/2015,11/11/2015,12/30/2016,"$216,782.00",$0.00,C,"03040, RET01",N
S-00318481,"TELOS IDENTITY MANAGEMENT SOLUTIONS, LLC",S-00318481,AVIATION CHANNELING SERVICE PROVIDER,11/9/2015,11/9/2018,11/9/2018,"$1,377,061.00","$200,913.35",C,03040,N
L-00318487,GARVEY SHUBERT & BARER,L-00318487,ELECTRONIC USE,11/4/2015,12/31/2015,12/31/2017,"$125,000.00","$500,000.00",C,03040,Y
P-00318286,OAC SERVICES INC,P-00318286,CONCOURSE C ROOF REPLACEMENT,11/5/2015,3/20/2016,11/15/2018,"$550,000.00","$390,000.00",C,03040,Y
MC-0318486,COLVICO INC,MC-0318486,C4 UPS SYSTEMS IMPROVEMENTS,11/4/2015,8/5/2017,5/30/2018,"$1,488,668.00","$1,488,668.00",C,03750,N
SW-0318482,SUMMIT ELECTRICAL SERVICES,SW-0318482,STIA PARKING GARAGE EMERGENCY PHONES,11/2/2015,7/11/2017,6/30/2017,"$200,000.00",$0.00,C,"03040, RET01",N
P-00318261,CORNERSTONE ARCHITECTURAL GROUP PS,P-00318261,ROOFING SYSTEMS DESIGN SERVICES IDIQ,10/30/2015,10/30/2016,12/15/2017,"$1,200,000.00","$1,200,000.00",C,"00010, 00020, 03040",N
I-00318935,CITY OF SEATTLE,I-00318935,MOU HEAVY HAUL WITH CITY OF SEATTLE,10/30/2015,12/31/2035,12/31/2035,"$20,250,000.00","$20,250,000.00",C,00021,N
MC-0318420,PERFORMANCE ABATEMENT SERVICES,MC-0318420,REGULATED MATERIALS ABATEMENT FOR TENANT PROJECTS,10/28/2015,10/27/2016,4/28/2017,"$1,460,000.00",$0.00,C,"03040, RET01",N
P-00318135,TETRA TECH FW INC,P-00318135,SHILSHOLE BAY MARINA CUSTOMER SERVICE FACILITY DESIGN SERVICES,10/28/2015,12/31/2017,12/31/2017,"$570,000.00","$570,000.00",C,"00010, 00012",N
SW-0318435,HERZOG INDUSTRIES INC,SW-0318435,GLAZING ON-CALL PORTWIDE 2015,10/30/2015,10/29/2015,12/29/2017,"$300,000.00",$0.00,C,"00010, 03040, RET01",Y
P-00318442,BURNS & MCDONNELL ENGINEERING CO INC,P-00318442,THIRD PARTY COMMISSIONING AGENT SERVICES IDIQ 2 OF 2,10/26/2015,10/26/2016,10/25/2017,"$2,000,000.00","$500,000.00",C,00010,Y
P-00318350,DON WILSON,P-00318350,PHOTOGRAPHY SERVICES IDIQ,10/28/2015,10/28/2016,2/20/2018,"$180,000.00","$180,000.00",C,00010,Y
P-00318224,DALTON OLMSTED & FUGLEVAND INC,P-00318224,DREDGING IDIQ 1 OF 4,10/26/2015,10/26/2018,10/26/2018,"$1,500,000.00","$1,500,000.00",C,00010,N
P-00318472,MCREYNOLDS ASSOCIATES INC,P-00318472,CEO EVALUATION PROCESS CONSULTING,10/26/2015,10/26/2016,2/28/2017,"$49,900.00","$49,900.00",C,00010,Y
C-00318475,MACDONALD MILLER FACILITY SOLUTIONS INC,C-00318475,CHILLER MAINT,10/19/2015,10/19/2016,10/20/2017,"$184,000.00","$184,000.00",C,03040,N
SW-0318424,MACDONALD MILLER FACILITY SOLUTIONS INC,SW-0318424,CHILLER REPAIRS STIA ONCALL  2015,10/16/2015,10/15/2016,5/15/2018,"$300,000.00","$300,000.00",C,03040,Y
P-00318471,ICF SH&E Inc.,P-00318471,SMS PROGRAM REVIEW,10/12/2015,10/12/2016,1/12/2017,"$46,698.00","$46,698.00",W,03040,N
P-00318148,"MAZZETTI, INC",P-00318148,MECHANICAL ELECTRICAL DESIGN SERVICES IDIQ,10/7/2015,10/6/2016,10/6/2017,"$1,500,000.00","$1,500,000.00",C,"03040, 03750",Y
P-00318343,GLUMAC,P-00318343,THIRD PARTY COMMISSIONING,10/6/2015,10/5/2017,10/5/2017,"$2,000,000.00","$2,000,000.00",C,03040,Y
SW-0318460,FOY INDUSTRIAL ELECTRIC CORP,SW-0318460,ELECTRICAL ON-CALL PORTWIDE 2015-2,10/2/2015,6/5/2017,6/5/2017,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",N
P-00318149,"NOTKIN ENGINEERING, INC",P-00318149,MECHANICAL ELECTRICAL IDIQ,10/1/2015,9/30/2016,9/30/2017,"$1,500,000.00","$1,500,000.00",C,"03040, 03750",N
C-00318490,PEOPLEFLUENT INC,C-00318490,AFFIRMATIVE ACTION PLAN,9/30/2015,9/30/2020,11/30/2020,"$76,000.00","$76,000.00",C,00010,Y
P-00318417,ASSET ANALYTIX,P-00318417,METRICS REPORTING STRATEGY,9/30/2015,9/29/2016,9/29/2017,"$40,000.00","$49,999.00",C,03040,Y
SW-0318423,EVERGREEN TECHNOLOGIES INC,SW-0318423,TELECOMMUNICATIONS ONCALL PORTWIDE 2015,9/23/2015,9/22/2016,9/22/2017,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",Y
C-00318451,WEYERHAEUSER COMPANY,C-00318451,TEMPORARY HANGER LEASE,9/16/2015,11/30/2015,12/31/2017,"$15,000.00","$68,750.00",C,03040,Y
P-00318345,JOHN R POWERS,P-00318345,CRITICAL INCIDENT RESPONSE,9/20/2015,8/1/2016,9/20/2017,"$45,000.00","$45,000.00",W,00010,N
P-00318326,SALMON-SAFE INC,P-00318326,SOLE SOURCE FOR SALMON SAFE CERTIFICATION,9/14/2015,9/14/2020,9/14/2020,"$75,000.00","$100,000.00",W,03040,N
S-00318439,DONALD ELDRIDGE,S-00318439,REFRIGERATOR REPAIR,9/3/2015,9/3/2016,6/23/2017,"$5,760.00","$4,735.88",C,03040,Y
SW-0318318,GOOD NEWS GROUP INC,SW-0318318,GENERAL CONTRACTOR SUPPORT ONCALL AVM 2015-2,9/8/2015,9/7/2016,3/7/2017,"$300,000.00",$0.00,C,"03040, RET01",Y
P-00318402,HNTB CORP,P-00318402,4550 AVPMG STLOUIS,9/3/2015,9/2/2016,9/2/2017,"$2,000,000.00","$2,000,000.00",C,"03040, 03750",Y
I-00318544,WA ST DEPT OF ECOLOGY,I-00318544,CONSENT DECREE LORA LAKE APTS CLEAN UP,9/1/2015,8/31/2020,8/31/2020,"$375,000.00","$375,000.00",S,03040,N
P-00318147,HARRIS GROUP INC,P-00318147,MECHANICAL ELECTRICAL DESIGN SERVICES IDIQ - #2 OF 4 CONTRACTS,9/1/2015,8/31/2016,8/31/2017,"$1,500,000.00","$1,500,000.00",C,03040,Y
MC-0318290,CENTENNIAL CONTRACTORS ENTERPRISES INC,MC-0318290,JOC FOR ADR INFRASTRUCTURE MODS,9/1/2015,9/1/2017,3/1/2018,"$3,804,000.00","$3,804,000.00",C,03040,Y
P-00318232,O'NEILL SERVICE GROUP,P-00318232,NSTAR TESTING & INSPECTION SERVICES,9/1/2015,12/31/2020,12/31/2020,"$2,000,000.00","$2,000,000.00",C,00010,Y
S-00318438,TOTAL RECLAIM,S-00318438,REFRIGERANT RECLAMATION,9/1/2015,8/31/2017,8/31/2017,"$5,000.00","$1,759.20",C,03040,N
MC-0318206,AMERICAN CONSTRUCTION CO INC,MC-0318206,DREDGING AND REGRADING ON-CALL,8/27/2015,8/27/2018,11/27/2018,"$4,000,000.00","$4,000,000.00",C,"00010, 00SPA",N
S-00318426,SEA DRU NAR RECYCLING,S-00318426,FREE RECYCLING SERVICES,9/1/2015,8/31/2017,8/31/2017,$0.00,$0.00,C,,N
C-00318433,CLEAN ENERGY FUELS CORP,C-00318433,CNG STATION MAINT AND REPAIR,8/26/2015,1/11/2019,1/11/2019,"$300,000.00","$300,000.00",C,03040,N
P-00318275,MCKINSTRY ESSENTION LLC,P-00318275,IAF COMMISSIONING SERVICES,8/20/2015,8/14/2020,8/14/2020,"$2,000,000.00","$2,000,000.00",C,03040,N
SW-0318391,DESIGN AIR LTD,SW-0318391,MECHANICAL & PLUMBING ONCALL PORTWIDE 2015,8/14/2015,8/13/2016,8/13/2016,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",N
S-00318430,VERIZON WIRELESS,S-00318430,CELL PHONE AIRTIME AND EQUIPMENT,8/13/2015,10/31/2016,6/30/2017,"$299,999.00","$573,416.05",C,,N
P-00318323,"C&S ENGINEERS, INC",P-00318323,NOISE MITIGATION FEASIBILITY STUDY,8/7/2015,8/7/2016,5/31/2017,"$199,758.00","$199,758.00",C,03040,N
SW-0318370,PERFORMANCE ABATEMENT SERVICES,SW-0318370,REG MATLS ABATEMENT 2015,8/3/2015,8/3/2016,12/30/2017,"$3,000,000.00",$0.00,C,"03040, 03750, RET01",N
C-00318431,KBG HOLDINGS INC,C-00318431,RENTAL OF TRASH COMPACTOR,8/1/2015,7/15/2020,7/15/2020,"$5,820.00","$11,640.00",C,03040,Y
P-00318296,ALAN D BILLER & ASSOCIATES INC,P-00318296,WAREHOUSEMEN'S PENSION TRUST INVESTMENT ADVISORY SERVICES,8/1/2015,7/31/2018,7/31/2018,"$160,000.00","$160,000.00",C,,N
P-00318213,"CH2M HILL ENGINEERS, INC.",P-00318213,AIRFIELD IDIQ SUPPORT SERVICES,7/31/2015,7/31/2016,7/30/2017,"$2,000,000.00","$2,000,000.00",C,03040,Y
S-00318414,CONSOLIDATED ELECTRICAL DISTRIBUTORS INC,S-00318414,ELECTRICAL SUPPLIES,7/27/2015,7/26/2016,7/26/2017,"$300,000.00","$109,405.30",C,00010,Y
S-00318415,STUSSER ELECTRIC CO,S-00318415,ELECTRICAL SUPPLIES,7/27/2015,7/26/2016,7/26/2017,"$300,000.00","$221,150.44",C,00010,N
SW-0318061,SUMMIT ELECTRICAL SERVICES,SW-0318061,ELECTRICAL ON-CALL PORTWIDE 2104-4,7/21/2015,7/21/2016,7/21/2016,"$300,000.00",$0.00,C,"00010, 03040, RET01",N
SW-0318411,WAYNES ROOFING INC,SW-0318411,ROOF REPAIR CARGO 6,7/21/2015,2/28/2016,10/28/2016,"$255,000.00","$255,000.00",C,"03040, RET01",N
MC-0318087,CLARK CONSTRUCTION GROUP LLC,MC-0318087,IAF DESIGN AND CONSTRUCTION,7/20/2015,11/17/2015,3/31/2017,"$5,956,252.00","$328,881,701.67",C,03040,Y
C-00318405,WEST PUBLISHING CORP,C-00318405,LEGAL FEE TRACKING TOOL,7/17/2015,8/31/2018,8/31/2018,"$131,780.80","$131,780.80",C,00010,N
P-00318274,THE TRANSPO GROUP INC,P-00318274,TRANSPORTATION PLANNING SERVICES IDIQ,7/9/2015,7/8/2016,7/8/2017,"$500,000.00","$500,000.00",C,03040,Y
P-00318164,"ECH ARCHITECTURE, INC",P-00318164,BUILDING AND STRUCTURES DESIGN IDIQ 2 OF 2,7/9/2015,7/9/2016,7/8/2017,"$750,000.00","$750,000.00",C,"00010, 03040",Y
P-00318401,FLOYD SNIDER INC,P-00318401,IAF FACILITATION SERVICES,7/9/2015,7/10/2016,7/13/2017,"$45,000.00","$135,000.00",W,"00010, 03040",Y
SW-0318395,"APOLLO SHEET METAL, INC.",SW-0318395,MECHANICAL & CONTROLS PLBS,7/6/2015,6/26/2017,6/26/2017,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",N
L-00318398,RYAN SWANSON & CLEVELAND PLLC,L-00318398,OUTSIDE LEGAL SERVICE,7/8/2015,12/31/2015,12/31/2017,"$100,000.00","$150,000.00",W,03040,Y
MC-0318407,PCL CONSTRUCTION SERVICES INC,MC-0318407,SOUTH SATELLITE INTERIOR RENOVATIONS,7/20/2015,7/20/2018,7/20/2018,"$3,062,503.00","$3,271,234.71",C,03040,Y
L-00318400,STOEL RIVES LLP,L-00318400,OUTSIDE LEGAL SERVICE,7/8/2015,12/31/2015,12/31/2017,"$15,000.00","$22,000.00",W,"00010, 00SPA",Y
MC-0318151,TEKNON CORP,MC-0318151,CONCOURSE A & B AIRPORT FIBER TO BACKSTANDS,7/15/2015,3/21/2016,12/29/2017,"$1,379,169.00","$1,457,309.82",C,03040,Y
C-00318365,HERMANSON COMPANY LLP,C-00318365,HVAC,7/1/2015,6/30/2017,6/30/2017,"$242,828.12","$242,828.12",C,00010,N
MC-0317993,SIEMENS BUILDING TECHNOLOGIES INC,MC-0317993,AIRPORT-WIDE MECHANICAL CONTROLS UPGRADE,7/1/2015,4/26/2016,10/31/2016,"$2,115,800.00","$2,190,002.00",C,03040,Y
S-00318373,UNDERWATER SPORTS INC,S-00318373,UNDERWATER SPORTS,7/1/2015,6/30/2018,6/30/2018,"$50,000.00","$34,647.51",C,00010,N
S-00318366,BURIEN VETERINARY HOSPITAL,S-00318366,K -9 EXAMS AND CARE,7/1/2015,6/30/2018,6/30/2018,"$60,000.00","$41,229.53",C,00010,Y
S-00318397,LANGUAGE LINE SERVICES,S-00318397,INTERPRETER SERVICES TELEPHONE,7/1/2015,6/30/2016,6/30/2017,"$50,000.00","$64,820.33",C,03040,Y
MC-0318388,ELCON CORPORATION,MC-0318388,CONCOURSE B 400HZ GATE IMPROVEMENTS,6/25/2015,12/26/2018,12/26/2018,"$2,999,000.00","$2,999,000.00",C,"03040, 03750",N
